fecha,tipo_avión,registro,Operador,numero_total_fallecidos,lugar_accidente
1950-01-09 00:00:00.000,Fieseler Fi 156 Storch,N-AD,Luftforsvaret (RNoAF),0,Bardufoss
1950-01-10 00:00:00.000,Beechcraft C-45F Expeditor,MM61704,Aeronautica Militare Italiana (AMI),0,Padova-Brusegana
1950-01-10 00:00:00.000,McDonnell FH-1 Phantom,111753,United States Marine Corps (USMC),0,"MCAS Cherry Point, NC"
1950-01-10 00:00:00.000,De Havilland DH.82A Tiger Moth,VT-CMX,Bombay Flying Club,0,"near Piploda, Nagar Parishad, Ratlam district, Madhya Pradesh"
1950-01-10 00:00:00.000,Avro Anson C Mk 19,VP531,58 Sqn RAF,0,"Loughor estuary, off Burry Port, west of Llanelli, Carmarthenshire"
1950-01-11 00:00:00.000,Douglas C-54G-5-DO,45-0570,United States Air Force (USAF),0,"Kodiak AFB, AK"
1950-01-12 00:00:00.000,Republic F-84E Thunderjet,49-2037,309th FSqn /31st FGp USAF,0,"Turner AFB, Albany, Georgia"
1950-01-12 00:00:00.000,Gloster Meteor T Mk 7,VW314,226 OCU RAF,0,"RAF Stradishall, Suffolk, England"
1950-01-12 00:00:00.000,Avro Lancaster B Mk III GR,SW373,210 Sqn RAF,0,"RAF St. Eval, Cornwall, England."
1950-01-12 00:00:00.000,Cessna,N....,Private,0,"Ruby, AK"
1950-01-13 00:00:00.000,Lockheed A-28A Hudson,6052,Força Aérea Brasileira (FAB),0,"Fortaleza, CE"
1950-01-13 00:00:00.000,de Havilland Canada DHC-1 Chipmunk,VT-...,C.P. and Berar Flying Club,0,Delbahar
1950-01-13 00:00:00.000,Avro Anson T Mk 21,VV986,ATCS RAF,0,"RAF Watchfield, 7.2 miles NE of Royal Wootton Bassett, Wiltshire"
1950-01-14 00:00:00.000,De Havilland DH-89B Dominie,ZK-ALC,NZ National Airways Corporation,0,"Rotorua Aerodrome, Rotorua"
1950-01-14 00:00:00.000,De Havilland DH.82 Tiger Moth,ZS-AIY,Rand Flying Club,0,"Rustenburg Airfield, Rustenburg, North West Province"
1950-01-14 00:00:00.000,De Havilland DH.94 Moth Minor,VH-ADJ,Aero Club of Broken Hill,0,"Kajuligan Station, near Ivanhoe, NSW."
1950-01-16 00:00:00.000,Gloster Meteor F Mk 4,VT261,92 Sqn RAF,0,"near RAF Linton-on-Ouse, North Yorkshire, England"
1950-01-16 00:00:00.000,Boeing B-29,se desconoce,United States Air Force (USAF),0,"Bear Field, IN"
1950-01-17 00:00:00.000,North American F-6D Mustang (P-51D),44-72106,Armee de l'Air,0,near BA Fribourg
1950-01-17 00:00:00.000,de Havilland DH.98 Mosquito FB Mk VI,PZ393,204 AFS RAF,0,"RAF stn Brize Norton, Oxfordshire, England."
1950-01-17 00:00:00.000,de Havilland DH.89A Dragon Rapide,YV-P-BPE,Riego Oil Co,0,"Tucacas, Falcón"
1950-01-17 00:00:00.000,Bristol Beaufighter TT Mk 21,A8-354,30 TT Sqn RAAF,0,"RAAF Deniliquin, Riverina region of New South Wales."
1950-01-18 00:00:00.000,Douglas DC-3,PI-C184,Trans Asiatic Airlines,0,Yangon-Mingaladon Airport (RGN)
1950-01-19 00:00:00.000,de Havilland DH.98 Mosquito FB Mk VI,RF680,204 AFS RAF,0,"RAF stn Brize Norton, Oxfordshire, England."
1950-01-19 00:00:00.000,FFVS J 22A,22.167,Swedish Air Force,0,F18 Tullinge (Södermanland)
1950-01-20 00:00:00.000,Handley Page Halifax C.8,G-AITC,World Air Freight Ltd,0,"Brindisi Airport (Aeroporto di Brindisi), Brindisi, Apulia"
1950-01-22 00:00:00.000,Douglas DC-4-1009,F-BBDB,Air France,0,Paris-Orly Airport (ORY)
1950-01-23 00:00:00.000,Airplane,se desconoce,se desconoce,0,"Garimpo de Alto Parauai, MT"
1950-01-05 00:00:00.000,Curtiss C-46A,PP-XBW,Comp. Itaú de Transportes Aéreos,0,"Itaquaquecetuba, SP"
1950-01-18 00:00:00.000,Douglas DC-3,PI-C184,Trans Asiatic Airlines,0,Yangon-Mingaladon Airport (RGN)
1950-01-22 00:00:00.000,Douglas DC-4-1009,F-BBDB,Air France,0,Paris-Orly Airport (ORY)
1960-01-03 00:00:00.000,Taylorcraft Auster 5,ZK-AVF,Private,0,"Homewood, Wairarapa"
1960-01-03 00:00:00.000,Auster T.7,WE569,654 Sqn Brit. AAC,0,"near Hildesheim, Lower Saxony"
1960-01-04 00:00:00.000,Curtiss C-46A,PP-SLJ,T.A. Salvador,0,"Dianopolis Airport, TO (DNO)"
1960-01-05 00:00:00.000,de Havilland Canada DHC-1-200 Chipmunk,1331,Força Aérea Portuguesa,0,Vilarinho/Cacia
1960-01-05 00:00:00.000,Percival Provost T1,XF905,6 FTS RAF,0,"RAF High Ercall, 7 miles NE of Shrewsbury, Shropshire, England."
1960-01-05 00:00:00.000,Percival Provost T1,WV537,6 FTS RAF,0,"RAF High Ercall, 7 miles NE of Shrewsbury, Shropshire, England."
1960-01-05 00:00:00.000,Vickers 701 Viscount,G-AMNY,BEA,0,Malta-Luqa Airport (MLA)
1960-01-06 00:00:00.000,Douglas R4D-8 (Super DC-3),17154,US Navy,0,Byrd Station
1960-01-07 00:00:00.000,Vought F8U-2 Crusader,145571,US Navy VF-84,0,USS Independence
1960-01-07 00:00:00.000,North American FJ-4B Fury (F-86H),143516,United States Navy (USN),0,se desconoce
1960-01-07 00:00:00.000,Ilyushin Il-12,CCCP-01438,"Aeroflot, Northern",0,Leningrad-Shosseynaya Airport (LED)
1960-01-08 00:00:00.000,Hawker Hunter F Mk 6,XJ675,93 Sqn RAF,0,"5 miles NE of Aurich, Lower Saxony"
1960-01-09 00:00:00.000,de Havilland Canada DHC-1 Chipmunk 22,VH-BWE,Royal Aero Club of South Australia,0,"Parafield, 18 Km N of Adelaide, SA"
1960-01-11 00:00:00.000,Bristol 171 Sycamore 4,VH-INO,Ansett-ANA,0,"Nundle State Forest, NSW"
1960-01-11 00:00:00.000,Gloster Meteor T Mk 7,VW472,Ferry Sqn RAF,0,"nr RAF Manby, Lincolnshire"
1960-01-12 00:00:00.000,Scottish Aviation Twin Pioneer 2,PI-C430,Philippine Air Lines,0,Plaridel Airport
1960-01-14 00:00:00.000,Republic F-84G Thunderjet (2x),se desconoce,Türk Hava Kuvvetleri,0,Samsun
1960-01-15 00:00:00.000,Saab J29F Tunnan,296608,Swedish Air Force,0,"Fält 32, Heden, Boden (Norrbotten)"
1960-01-15 00:00:00.000,de Havilland Canada DHC-2 Beaver,NZ6010,Antarctic Flt RNZAF,0,Beardmore Glacier
1960-01-18 00:00:00.000,Lockheed F-104A-25-LO Starfighter,56-0873,538 FISqn /4700 ADWg USAF,0,"4 miles NE of McLoud, OK"
1960-01-19 00:00:00.000,Hawker Hunter F51,47-415,Flyvevåbnet,0,Skrydstrup AB (SKS)
1960-01-20 00:00:00.000,Westland Whirlwind HAR 7,XM664,727 NAS FAA RN,0,"English Channel, 4 miles off RNAS Portland, Dorset"
1960-01-20 00:00:00.000,Sud Aviation SE 3130 Alouette II,9201,Força Aérea Portuguesa,0,se desconoce
1960-01-20 00:00:00.000,Westland Whirlwind HAR.2,XJ728,22 Sqn RAF,0,"Sea off Padstow, Cornwall"
1960-01-21 00:00:00.000,Republic F-84G Thunderjet,51-9772 ?,Türk Hava Kuvvetleri,0,Bandirma AB
1960-01-04 00:00:00.000,Curtiss C-46A,PP-SLJ,T.A. Salvador,0,"Dianopolis Airport, TO (DNO)"
1960-01-05 00:00:00.000,Vickers 701 Viscount,G-AMNY,BEA,0,Malta-Luqa Airport (MLA)
1960-01-06 00:00:00.000,Douglas R4D-8 (Super DC-3),17154,US Navy,0,Byrd Station
1960-01-07 00:00:00.000,Ilyushin Il-12,CCCP-01438,"Aeroflot, Northern",0,Leningrad-Shosseynaya Airport (LED)
1960-01-12 00:00:00.000,Scottish Aviation Twin Pioneer 2,PI-C430,Philippine Air Lines,0,Plaridel Airport
1970-01-02 00:00:00.000,Northrop F-5A,1311,Royal Thai Air Force (RTAF),0,se desconoce
1970-01-02 00:00:00.000,Lockheed 18 Learstar II,N13VV,Sky King,0,"North Little Rock Municipal Airport, AR"
1970-01-02 00:00:00.000,Mooney M20E,N9253V,Private,0,"Los Angeles, CA"
1970-01-03 00:00:00.000,Fairchild C-123K Provider,54-688,USAF,0,Binh Thuy Air Base (VCA)
1970-01-04 00:00:00.000,Grumman A-6A Intruder,155639,"VA-75, US Navy",0,"off USS Saratoga, Western Atlantic Ocean"
1970-01-04 00:00:00.000,Vought F-8B Crusader,145425,United States Navy (USN),0,"near White, GA"
1970-01-05 00:00:00.000,Fokker F-27 Friendship 600,EC-BOD,Iberia,0,La Palma-Buena Vista Airport
1970-01-05 00:00:00.000,Gloster Meteor T7 (TF-7),4301,Força Aérea Brasileira (FAB),0,"Campo de Marte, SP"
1970-01-08 00:00:00.000,Cessna UC-78B Bobcat,N63878,Private,0,"South Haven, MI"
1970-01-08 00:00:00.000,Taylorcraft BC-12-D,N96698,West Coast Aer,0,"Visalia, CA"
1970-01-08 00:00:00.000,Piper PA-24-250 Commanche,VH-PAR,Nichols Holdings Pty Ltd,0,"Jandakot Airport, Perth, WA"
1970-01-09 00:00:00.000,Douglas A-1G Skyraider,52-132612,United States Air Force (USAF),0,"Muang Poi, near, Laos"
1970-01-10 00:00:00.000,MiG-21U-600,285,JG-1 Luftstreitkräfte,0,Cottbus Air Base
1970-01-10 00:00:00.000,Beagle B.121 Pup Series 2,G-AXHK,Middleton St. George Aero Club,0,"near Teesside Airport, Middleton St. George, County, Durham"
1970-01-10 00:00:00.000,Beechcraft D18S,N44CA,Private,0,Freeport
1970-01-11 00:00:00.000,Piper PA-23-250 Aztec,N6661Y,Private,0,"Bay Minette, AL"
1980-01-02 00:00:00.000,McDonnell Douglas F-4S Phantom II,153818,US Navy,0,off South Carolina
1980-01-02 00:00:00.000,McDonnell Douglas F-4S Phantom II,153853,US Navy,0,off South Carolina
1980-01-02 00:00:00.000,Boeing EC-135P,58-0007,USAF,0,"Hampton-Langley AFB, VA (LFI)"
1980-01-03 00:00:00.000,Bell 47G-3B-1,ZK-HDQ,Mountain Helicopters Ltd,0,"near Karamea, West Coast"
1980-01-04 00:00:00.000,Beechcraft C50 Twin Bonanza,N3725B,"Cls Seafood,In",0,Atlantic Ocean
1980-01-05 00:00:00.000,Lockheed 18 Learstar I,N163R,Private,0,"Palmyra Island, Line Islands"
1980-01-07 00:00:00.000,McDonnell Douglas F-4J Phantom II,158371,"VF-151, US Navy",0,Off USS Midway (CVA-41)
1980-01-07 00:00:00.000,DC-9-32,I-DIKB,Alitalia,0,Roma-Fiumicino Airport (FCO)
1980-01-08 00:00:00.000,Atlas C4M Kudu (AL.60),986,South African Air Force (SAAF),0,se desconoce
1980-01-08 00:00:00.000,Grumman A-6E Intruder,160426,"VA-196, US Navy",0,"USS Coral Sea (CVA-43), South China Sea, West of NAS Cubi Pt, Philippi"
1980-01-08 00:00:00.000,Cessna F152 II (Reims),SX-ALL,Aeroclub of Lakonia,0,Sparti Airport (LGSP)
1980-01-09 00:00:00.000,Mil Mi-8T,se desconoce,Soviet Air Force,0,near Ishkamysh
1980-01-11 00:00:00.000,Convair CV-440-11,CP-1358,Carga Aéreo Transportada,0,Camiare
1980-01-11 00:00:00.000,Hughes 500D (369D),N9163F,Alla Ohio Avia,0,"near  Dione, Ky"
1980-01-12 00:00:00.000,Piper PA-12 Super Cruiser,N92795,Private,0,"near  Beaumont, CA"
1980-01-13 00:00:00.000,DC-9-32,PK-GND,Garuda,0,Banjarmasin-Sjamsudin Noor Airport (BDJ)
1980-01-14 00:00:00.000,Westland Sea King HAS2,XZ572,Royal Navy Fleet Air Arm,0,"Atlantic Ocean, off Florida"
1980-01-14 00:00:00.000,MiG-25RB,se desconoce,Soviet Air Force,0,se desconoce
1980-01-14 00:00:00.000,Grumman A-6E Intruder,152929,"VA-75, US Navy",0,"USS Saratoga (CVA-60) 100 miles E of Jacksonville, Florida"
1980-01-15 00:00:00.000,Rockwell Aero Commander 690,N182,Corporate Air,0,"near  Goldsboro, MD"
1980-01-16 00:00:00.000,Convair PQM-102,56-1453,U.S. Air Force (USAF),0,Gulf of Mexico
1980-01-17 00:00:00.000,Cessna 182,N4789N,Private,0,"Spring Valley, NY"
1980-01-18 00:00:00.000,Lockheed F-104G Starfighter,MM6510,Aeronautica Militare Italiana (AMI),0,"Capo Frasca range (OR), Sardinia"
1980-01-18 00:00:00.000,Piper PA-31-350 Navajo Chieftain,N25VM,Eastern Carib,0,"St. Croix, VI"
1980-01-18 00:00:00.000,Piper PA-23-250 Aztec C,N238PS,Private,0,"near  St.Thomas, Vi"
1980-01-18 00:00:00.000,Cessna 172,N92453,T&T Motor Home,0,"near  Key West, FL"
1980-01-18 00:00:00.000,Piper PA-23-250 Aztec B,N5134Y,Codd Enterprises Inc,0,"Islamorida, FL"
1980-01-19 00:00:00.000,Bell 206,N789PR,Royal Helicopt,0,"near  Honolulu, Hi"
1980-01-19 00:00:00.000,Maule M-5,N9069E,Private,0,"Portland, Or"
1980-01-19 00:00:00.000,Beechcraft B35 Bonanza,N5004C,Private,0,"Kissimmee, FL"
1980-01-20 00:00:00.000,Dassault Mirage F1CG,130,Elleniki Polemikí Aeroporía,0,se desconoce
1980-01-20 00:00:00.000,Hughes 369D,N8354F,Rogers Helicop,0,"near  June Lakes, CA"
1980-01-02 00:00:00.000,Boeing EC-135P,58-0007,USAF,0,"Hampton-Langley AFB, VA (LFI)"
1980-01-05 00:00:00.000,Lockheed 18 Learstar I,N163R,Private,0,"Palmyra Island, Line Islands"
1980-01-07 00:00:00.000,DC-9-32,I-DIKB,Alitalia,0,Roma-Fiumicino Airport (FCO)
1980-01-11 00:00:00.000,Convair CV-440-11,CP-1358,Carga Aéreo Transportada,0,Camiare
1980-01-13 00:00:00.000,DC-9-32,PK-GND,Garuda,0,Banjarmasin-Sjamsudin Noor Airport (BDJ)
1990-01-01 00:00:00.000,MDH 500MD ASW,6906,Republic of China Navy,0,se desconoce
1990-01-03 00:00:00.000,BN-2A Trislander Mk.III,YJ-RV3,Vanair,0,15 km from Port Vila-Bauerfield Airport (VLI)
1990-01-04 00:00:00.000,FMA IA 58A Pucará,A-560,Fuerza Aérea Argentina,0,"Bella Vista, Comodoro Rivadavia, Chubut"
1990-01-04 00:00:00.000,Fairchild SA227-AC Metro III,N31138,"Chautauqua Airlines, opf. USAir Express",0,"Hagerstown, MD"
1990-01-04 00:00:00.000,Cessna 172E,N3531S,"Dawe, John R.",0,"Hammond, LA"
1990-01-05 00:00:00.000,Lockheed L-100-30 Hercules,D2-THB,Angola Air Charter,0,Menongue Airport (SPP)
1990-01-05 00:00:00.000,Cessna 185,N9816X,Private,0,"Agua Dulce, CA"
1990-01-05 00:00:00.000,Piper PA-30-160 Twin Comanche,N7030Y,Nicholas O. Calley,0,"near Tallahassee Regional Airport, Tallahassee, Florida"
1990-01-05 00:00:00.000,Fokker F-28 Fellowship 4000,LV-MZD,Aerolineas Argentinas,0,"Villa Gesell Airport, BA (VLG)"
1990-01-06 00:00:00.000,Hughes 269C,N7456F,C.A.R.I. Aviation,0,"Rialto, CA"
1990-01-08 00:00:00.000,Beechcraft V35B Bonanza,N6741V,"Hayden Machinery,Inc.",0,"W Kingston, RI"
1990-01-08 00:00:00.000,Cessna 150L,N7950F,Frank G. Fisher,0,"Talladega, AL"
1990-01-09 00:00:00.000,Douglas A-4M Skyhawk,158162,USMC,0,Yuma MCAS
1990-01-09 00:00:00.000,Panavia Tornado GR1A,ZA394,RAF,0,"4 mi E of Hexham, Northumberland"
1990-01-11 00:00:00.000,Boeing KC-135A,59-1494,USAF,0,"Portsmouth-Pease AFB, NH (PSM)"
1990-01-11 00:00:00.000,Cessna F152 II (Reims),G-BOIP,AV Aviation Ltd,0,"Stanbore Lane, Uckington, Cheltenham, Gloucestershire"
1990-01-12 00:00:00.000,Douglas A-4M Skyhawk,158149,USMC,0,"near NAS Willow Grove, PA"
1990-01-16 00:00:00.000,Sikorsky S-62A,VH-NWB,Northwest Air Charter,0,"Panguna, Bougaiville"
1990-01-16 00:00:00.000,Cessna 172M,N9093H,Reliant Pilot Training Center,0,"Danbury, CT"
1990-01-16 00:00:00.000,Cessna 402A,N4532Q,Freight Runners Express Inc.,0,"Mosinee, WI"
1990-01-16 00:00:00.000,Hawker Hunter T66B,802,Royal  Air Force of Oman (RAFO),0,"Thumrait AB, Dhofar Region"
1990-01-17 00:00:00.000,McDonnell Douglas F-4E Phantom II,73-1163,"4th TFW, USAF",0,"Seminole, OK"
1990-01-18 00:00:00.000,Hughes 269B,ZK-HPD,se desconoce,0,Tararua Range
1990-01-19 00:00:00.000,Schleicher ASW 19,ZK-GKC,Private,0,"Glen Lyon Station, Canterbury"
1990-01-19 00:00:00.000,Mooney M20K,N231FH,Carl Offenbacker,0,"Brogue, PA"
1990-01-19 00:00:00.000,Cessna 150K,N6017G,Austin R. Stover,0,"E. Prospect, PA"
1990-01-20 00:00:00.000,Schleicher K 8B,BGA 2336,Private,0,"RAF Weston-on-the-Green, near Bicester, Oxfordshire"
1990-01-20 00:00:00.000,Cessna 150M,N66787,"Galaxy Aviation, Inc.",0,"Schuyler, NY"
1990-01-03 00:00:00.000,BN-2A Trislander Mk.III,YJ-RV3,Vanair,0,15 km from Port Vila-Bauerfield Airport (VLI)
1990-01-04 00:00:00.000,Fairchild SA227-AC Metro III,N31138,"Chautauqua Airlines, opf. USAir Express",0,"Hagerstown, MD"
1990-01-05 00:00:00.000,Lockheed L-100-30 Hercules,D2-THB,Angola Air Charter,0,Menongue Airport (SPP)
1990-01-05 00:00:00.000,Fokker F-28 Fellowship 4000,LV-MZD,Aerolineas Argentinas,0,"Villa Gesell Airport, BA (VLG)"
1990-01-11 00:00:00.000,Boeing KC-135A,59-1494,USAF,0,"Portsmouth-Pease AFB, NH (PSM)"
2000-01-01 00:00:00.000,Robinson R22 Beta,ZK-HCM,Private,0,"Wanaka, Otago"
2000-01-02 00:00:00.000,Agusta A109A Mk II,D-HCKV,Private,0,"1 nm SW of Newby Bridge, Cumbria"
2000-01-04 00:00:00.000,Agusta-Bell AB 206C-1 JetRanger,MM80638,Aviazione dell'Esercito (AVES),0,Gulf of Salerno (SA)
2000-01-05 00:00:00.000,Sikorsky S-70A-28 (CH-60),12308/T-19,Sikorsky (Türk Kara Kuvvetleri),0,"Pahokee, FL"
2000-01-06 00:00:00.000,Mil Mi-8T,RA-24187,Tyumenaviatrans,0,Surgut
2000-01-08 00:00:00.000,Slingsby T.43 Skylark 3F,BGA 954,Denbigh Gliding Club,0,"Lleweni Parc, Mold Road, Denbigh"
2000-01-10 00:00:00.000,McDonnell Douglas F/A-18D Hornet,164665,VMFA(AW)-242 USMC,0,"near Yuma, Arizona"
2000-01-14 00:00:00.000,Bell 222UT,N222FV,se desconoce,0,se desconoce
2000-01-14 00:00:00.000,Agusta A109E Power,G-JRSL,Perment Ltd,0,"Wheelsgate Farm, Washington Lane, Romney Marsh, Kent"
2000-01-16 00:00:00.000,Auster J/1 Autocrat,ZK-AUX,NZ Vintage Aero Club Inc.,0,"Mangatawhiri, Waikato"
2000-01-16 00:00:00.000,Cessna 421C Golden Eagle III,D-ILMS,Alster-Flug-Center Lamz GmbH (AFC),0,"near Heringsdorf Airport, Mecklenburg-Vorpommern"
2000-01-17 00:00:00.000,Robinson R22 Beta,VH-JHZ,se desconoce,0,"Jandakot Airport (YPJT), Jandakot, WA"
2000-01-18 00:00:00.000,Helibras HB-350BA Esquilo,PP-EOG,Polícia Militar do Estado de São Paulo,0,"Mairiporã, SP"
2010-01-02 00:00:00.000,Robinson R44 Raven II,RA-04244,ZAO,0,"1.2 km from d.Malo-Boydino, Chastinsky region, Perm region"
2010-01-03 00:00:00.000,Beechcraft B95,LV-GBW,se desconoce,0,"San Antonio de Areco, BA"
2010-01-04 00:00:00.000,Airplane,se desconoce,Türk Kara Kuvvetleri (TKK),0,"near Gorece village, Menemen town"
2010-01-04 00:00:00.000,Antonov An-12BK,ST-AQQ,El Magal Aviation,0,Heglig Airport
2010-01-07 00:00:00.000,Cessna 337 Super Skymaster,5R-MVQ,Assist Aviation,0,Ivato
2010-01-08 00:00:00.000,Lancair IV-P,PT-ZVN,Private,0,"near Alfenas Airport (SNFE), Minas Gerais"
2010-01-09 00:00:00.000,Cessna A185E Skywagon,VH-ELQ,Cloud 9 Seaplanes,0,"Southport Aerodrome,NW of Tipplers Resort, South Stradbroke Island, QL"
2010-01-12 00:00:00.000,MD Helicopter MD 902 Explorer,D-HPND,Polizei Niedersachsen,0,near Elze
2010-01-13 00:00:00.000,Aero Vodochody L-39 Albatros,se desconoce,Yemen Air Force,0,near Aden City
2010-01-15 00:00:00.000,Beechcraft C90GTi King Air,HB-GPL,King's Way (operator) / Finavia SA (owner),0,Les Eplatures - LSGC
2010-01-04 00:00:00.000,Antonov An-12BK,ST-AQQ,El Magal Aviation,0,Heglig Airport
2020-01-01 00:00:00.000,Neiva P-56 Paulistinha,PP-ZCG,Private,0,"Monte Verde, Minas Gerais"
2020-01-02 00:00:00.000,Bayraktar TB2 drone,se desconoce,se desconoce,0,"south of Mitiga Airport, Tripoli"
2020-01-05 00:00:00.000,several aircraft,se desconoce,se desconoce,0,Manda Bay-Camp Simba Air Base
2020-01-07 00:00:00.000,CASC CH-4,se desconoce,Royal Saudi Air Force (RSAF),0,Al-Jawf Governorate
2020-01-08 00:00:00.000,Sikorsky HH-60G Pawe Hawk,se desconoce,United States Air Force (USAF),0,Ain al-Assad Airbase
2020-01-08 00:00:00.000,Mil Mi-17,se desconoce,Afghan National Army (ANA),0,"Gardiz, Zurik district, Paktia province"
1910-01-04 00:00:00.000,se desconoce,se desconoce,Ferdinand Léon Delagrange,1,Bordeaux
1910-07-12 00:00:00.000,French-Wright Biplane,Race No 18,Charles S Rolls,1,"Hengistbury Airfield, Southbourne, Bournemouth"
1910-10-07 00:00:00.000,Farman Biplane IV,20,Russian Ministry of War,1,St.Petersburg
1910-12-04 00:00:00.000,Gas balloon,Unregistered,Private,1,"Near Park Cottage, Berstane Road, Kirkwall, Orkney"
1910-12-22 00:00:00.000,Shorts S.27 Biplane,Unregistered?,Private,1,"English Channel, off Ostend, West Flanders"
1910-01-04 00:00:00.000,se desconoce,se desconoce,Ferdinand Léon Delagrange,1,Bordeaux
1910-07-12 00:00:00.000,French-Wright Biplane,Race No 18,Charles S Rolls,1,"Hengistbury Airfield, Southbourne, Bournemouth"
1910-10-07 00:00:00.000,Farman Biplane IV,20,Russian Ministry of War,1,St.Petersburg
1910-12-04 00:00:00.000,Gas balloon,Unregistered,Private,1,"Near Park Cottage, Berstane Road, Kirkwall, Orkney"
1910-12-22 00:00:00.000,Shorts S.27 Biplane,Unregistered?,Private,1,"English Channel, off Ostend, West Flanders"
1920-01-15 00:00:00.000,Thulin K,D-3,MLD,1,"Den Helder, Noord-Holland"
1920-02-18 00:00:00.000,Spijker V.2,C29,MLD,1,"De Kooy NAS, Noord-Holland"
1920-02-23 00:00:00.000,Friedrichshafen FF.33L,V-22,MLD,1,"Veerse Gat, Zeeland"
1920-03-10 00:00:00.000,de Havilland DH-4B,65,US Air Mail Services,1,"New Paris, IN"
1920-03-30 00:00:00.000,de Havilland DH-4B,72,US Air Mail Services,1,"Heller Field, Newark, NJ"
1920-04-07 00:00:00.000,Spijker V.2,32,LVA,1,"Schiphol Airport, Noord-Holland"
1920-04-11 00:00:00.000,Curtiss JN-4D,44303,US Air Mail Services,1,"Heller Field, NJ"
1920-04-27 00:00:00.000,Nieuport Delage 30T,F-CGTY,Compagnie générale transaérienne,1,English Channel
1920-04-28 00:00:00.000,Farman F-40,se desconoce,Compania Colombiana de Navegación Aérea,1,Baranquilla
1920-05-12 00:00:00.000,de Havilland DH-4B,79,US Air Mail Services,1,"Oskaloosa, IA"
1920-05-24 00:00:00.000,Curtiss JN-4,G-CAAF,Pacific Aviation Company,1,"Nr. Minoru Park Racecourse, Vancouver, BC"
1920-06-02 00:00:00.000,Junkers F13,se desconoce,Junkers Flugzeugwerk AG,1,near Dessau
1920-06-06 00:00:00.000,Martin T-1,204,US Air Mail Services,1,"Cleveland, OH"
1920-01-11 00:00:00.000,Dayton-Wright (Airco) DH.4,se desconoce,104th Aero Sqn USAAC,1,"Silver Creek, Arizona"
1920-01-15 00:00:00.000,Thulin K,se desconoce,MLD,1,"Den Helder, Noord-Holland"
1920-01-24 00:00:00.000,Farman,se desconoce,se desconoce,1,se desconoce
1920-02-18 00:00:00.000,Spijker V.2,se desconoce,MLD,1,"De Kooy NAS, Noord-Holland"
1920-02-23 00:00:00.000,Friedrichshafen FF.33L,se desconoce,MLD,1,"Veerse Gat, Zeeland"
1920-02-26 00:00:00.000,Avro 504K,se desconoce,T.K. Wong Ltd,1,"Kuala Lumpur Racecourse, Ampang Road, Kuala Lumpur"
1920-03-10 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,1,"New Paris, IN"
1920-03-15 00:00:00.000,Spad,se desconoce,Army Aviation,1,Smyrne
1920-03-30 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,1,"Heller Field, Newark, NJ"
1920-04-07 00:00:00.000,Spijker V.2,se desconoce,LVA,1,"Schiphol Airport, Noord-Holland"
1920-04-11 00:00:00.000,Curtiss JN-4D,se desconoce,US Air Mail Services,1,"Heller Field, NJ"
1920-04-12 00:00:00.000,Curtiss JN-4 Canuck,se desconoce,Private,1,"Sioux Falls, SD"
1920-04-27 00:00:00.000,Nieuport Delage 30T,se desconoce,Compagnie générale transaérienne,1,English Channel
1920-04-28 00:00:00.000,Farman F-40,se desconoce,Compania Colombiana de Navegación Aérea,1,Baranquilla
1920-05-12 00:00:00.000,de Havilland DH-4B,se desconoce,US Air Mail Services,1,"Oskaloosa, IA"
1920-05-23 00:00:00.000,Bauhaus B-3 (Home Built Airplane),se desconoce,W K Bauhaus,1,"Carpinteria, CA"
1920-05-24 00:00:00.000,Curtiss JN-4,se desconoce,Pacific Aviation Company,1,"Nr. Minoru Park Racecourse, Vancouver, BC"
1920-05-27 00:00:00.000,Nieuport 21E.1,se desconoce,Aviação Militar,1,"near Villa Proletaria, RJ"
1920-06-02 00:00:00.000,Junkers F13,se desconoce,Junkers Flugzeugwerk AG,1,near Dessau
1920-06-06 00:00:00.000,Martin T-1,se desconoce,US Air Mail Services,1,"Cleveland, OH"
1920-06-11 00:00:00.000,Sopwith Camel,se desconoce,Hellenic Army Air Force,1,Sarahanli
1930-01-05 00:00:00.000,de Havilland DH.60 Moth,A7-10,1 Sqn RAAF,1,"1.5 km from RAAF Laverton, VIC"
1930-01-09 00:00:00.000,Curtiss Robin,NC,Curtiss Flying Service,1,Woodbine GA
1930-01-10 00:00:00.000,Boeing 95,NC184E,Boeing Air Transport,1,"Brownson, near Sidney, Nebraska"
1930-01-15 00:00:00.000,Martin T4M-1,A-7852,US Navy,1,"Pacific Ocean off San Diego, CA"
1930-01-18 00:00:00.000,de Havilland DH.60 Moth,G-EBWZ,Mrs Marjorie Hazeldene Stevens (regd. owner),1,"Victory Park, Chertsey Road, Addlestone, Surrey"
1930-01-28 00:00:00.000,de Havilland DH.60 Moth,VH-UFJ,A.J.Murphy,1,"18 miles from Miles, QLD"
1930-02-03 00:00:00.000,Pitcairn PA-6,NC801H,Colonial Air Transport,1,"Hartford, CT"
1930-02-13 00:00:00.000,Armstrong Whitworth Siskin Mk IIa (DC),J9191,32 Sqn RAF,1,"Epsom, Surrey"
1930-02-20 00:00:00.000,Curtiss F7C-1 Seahawk,A-7665,US Marine Corps,1,"Potomac River near Quantico, VA"
